codigo,nome,descricao,compatibilidade,marca,categoriaSistema,fornecedor
17950,"ALAVANCA FR D NXR 125/150/160","ALAVANCA FR D NXR 125/150/160","ALAVANCA FR D NXR 125/150/160",IRON,"Geral",MOTOCICLO
196115,"ALAVANCA FR D CG 125 00/08","ALAVANCA FR D CG 125 00/08","ALAVANCA FR D CG 125 00/08",IRON,"Geral",MOTOCICLO
1331,"40","40","40",IRON,"Geral",MOTOCICLO
13490,"ALAVANCA FR D BIZ 100/125 110I 17","ALAVANCA FR D BIZ 100/125 110I 17","ALAVANCA FR D BIZ 100/125 110I 17",IRON,"Geral",MOTOCICLO
196113,"ALAVANCA FR D BIZ 110I 18/22 C/ CBS","ALAVANCA FR D BIZ 110I 18/22 C/ CBS","ALAVANCA FR D BIZ 110I 18/22 C/ CBS",IRON,"Geral",MOTOCICLO
196109,"ALAVANCA FR T XTZ 125","ALAVANCA FR T XTZ 125","ALAVANCA FR T XTZ 125",IRON,"Geral",MOTOCICLO
196107,"VARETA FR NXR 125/150","VARETA FR NXR 125/150","VARETA FR NXR 125/150",IRON,"Freios",MOTOCICLO
196111,"VARETA FR CG 150/160 15 C/CBS","VARETA FR CG 150/160 15 C/CBS","VARETA FR CG 150/160 15 C/CBS",IRON,"Freios",MOTOCICLO
182122,"VARETA FR JET 50/50 X 125 X","VARETA FR JET 50/50 X 125 X","VARETA FR JET 50/50 X 125 X",IRON,"Freios",MOTOCICLO
201272,"VARETA FR YES 125","VARETA FR YES 125","VARETA FR YES 125",IRON,"Freios",MOTOCICLO
201271,"VARETA FR XTZ 125","VARETA FR XTZ 125","VARETA FR XTZ 125",IRON,"Freios",MOTOCICLO
201269,"VARETA FR POP 100","VARETA FR POP 100","VARETA FR POP 100",IRON,"Freios",MOTOCICLO
202840,"VARETA FR XLR/NX/XR 125/150/200","VARETA FR XLR/NX/XR 125/150/200","VARETA FR XLR/NX/XR 125/150/200",IRON,"Freios",MOTOCICLO
25884,"VARETA FR PHOENIX GOLD 50","VARETA FR PHOENIX GOLD 50","VARETA FR PHOENIX GOLD 50",IRON,"Freios",MOTOCICLO
18025,"VARETA FR CG 150 09/14","VARETA FR CG 150 09/14","VARETA FR CG 150 09/14",IRON,"Freios",MOTOCICLO
197564,"33","33","33",IRON,"Geral",MOTOCICLO
197562,"FREIO","FREIO","FREIO",IRON,"Freios",MOTOCICLO
185430,"REPARO VARETA FREIO","REPARO VARETA FREIO","REPARO VARETA FREIO",IRON,"Carburador/Reparos",MOTOCICLO
185431,"REPARO BOMBA FR XRE 300 DIANT","REPARO BOMBA FR XRE 300 DIANT","REPARO BOMBA FR XRE 300 DIANT",IRON,"Carburador/Reparos",MOTOCICLO
183064,"REPARO BOMBA FR YBR 125 ED DIANT","REPARO BOMBA FR YBR 125 ED DIANT","REPARO BOMBA FR YBR 125 ED DIANT",IRON,"Carburador/Reparos",MOTOCICLO
9615,"REPARO BOMBA FR. CB 300 TRAS.","REPARO BOMBA FR. CB 300 TRAS.","REPARO BOMBA FR. CB 300 TRAS.",IRON,"Carburador/Reparos",MOTOCICLO
25883,"REPARO BOMBA FR CG 125/150 04/08 ES/ESD (FINO) DIANT","REPARO BOMBA FR CG 125/150 04/08 ES/ESD (FINO) DIANT","REPARO BOMBA FR CG 125/150 04/08 ES/ESD (FINO) DIANT",IRON,"Carburador/Reparos",MOTOCICLO
25885,"REPARO BOMBA FR NX XR 150/200 DIANT","REPARO BOMBA FR NX XR 150/200 DIANT","REPARO BOMBA FR NX XR 150/200 DIANT",IRON,"Carburador/Reparos",MOTOCICLO
24502,"REPARO BOMBA FR NXR 150 ESD DIANT","REPARO BOMBA FR NXR 150 ESD DIANT","REPARO BOMBA FR NXR 150 ESD DIANT",IRON,"Carburador/Reparos",MOTOCICLO
24499,"REPARO BOMBA FR BIZ 125 DIANT.","REPARO BOMBA FR BIZ 125 DIANT.","REPARO BOMBA FR BIZ 125 DIANT.",IRON,"Carburador/Reparos",MOTOCICLO
24500,"REPARO BURRINHO CG 125/150 00/08 P/1 PISTÃO DIANT","REPARO BURRINHO CG 125/150 00/08 P/1 PISTÃO DIANT","REPARO BURRINHO CG 125/150 00/08 P/1 PISTÃO DIANT",IRON,"Carburador/Reparos",MOTOCICLO
18062,"REPARO PINÇA FR D CG/NXR XRE/150/160/300","REPARO PINÇA FR D CG/NXR XRE/150/160/300","REPARO PINÇA FR D CG/NXR XRE/150/160/300",IRON,"Carburador/Reparos",MOTOCICLO
24501,"34","34","34",IRON,"Geral",MOTOCICLO
1055,"RODA / CÂMARA","RODA / CÂMARA","RODA / CÂMARA",IRON,"Rodas e Pneus",MOTOCICLO
184424,"RODA CG 125 09 06 PALITOS PRETA","RODA CG 125 09 06 PALITOS PRETA","RODA CG 125 09 06 PALITOS PRETA",IRON,"Rodas e Pneus",MOTOCICLO
